instrument_name,strike,expiry_date,option_type,best_bid_price,best_ask_price,underlying_price,mark_iv,funding_rate,timestamp
BTC-27MAR26-20000-C,20000.0,2026-03-27 08:00:00+00:00,put,0.7305,0.7315,74374.29,,,2026-03-16 14:07:07.910627+00:00
BTC-27MAR26-30000-C,30000.0,2026-03-27 08:00:00+00:00,put,0.5955,0.597,74374.29,,,2026-03-16 14:07:08.090604+00:00
BTC-27MAR26-40000-C,40000.0,2026-03-27 08:00:00+00:00,put,0.461,0.463,74374.29,,,2026-03-16 14:07:08.324322+00:00
BTC-27MAR26-45000-C,45000.0,2026-03-27 08:00:00+00:00,put,0.3925,0.396,74373.23,,,2026-03-16 14:07:08.552595+00:00
BTC-27MAR26-45000-P,45000.0,2026-03-27 08:00:00+00:00,put,0.0001,0.0002,74373.23,,,2026-03-16 14:07:08.667809+00:00
BTC-27MAR26-50000-C,50000.0,2026-03-27 08:00:00+00:00,put,0.3265,0.329,74373.23,,,2026-03-16 14:07:08.796562+00:00
BTC-27MAR26-50000-P,50000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0004,74373.23,,,2026-03-16 14:07:08.913392+00:00
BTC-27MAR26-51000-C,51000.0,2026-03-27 08:00:00+00:00,put,0.3125,0.316,74373.23,,,2026-03-16 14:07:09.054306+00:00
BTC-27MAR26-51000-P,51000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0005,74374.29,,,2026-03-16 14:07:09.170660+00:00
BTC-27MAR26-52000-C,52000.0,2026-03-27 08:00:00+00:00,put,0.299,0.3025,74373.23,,,2026-03-16 14:07:09.281279+00:00
BTC-27MAR26-52000-P,52000.0,2026-03-27 08:00:00+00:00,put,0.0004,0.0006,74373.23,,,2026-03-16 14:07:09.406751+00:00
BTC-27MAR26-53000-C,53000.0,2026-03-27 08:00:00+00:00,put,0.284,0.289,74373.23,,,2026-03-16 14:07:09.535309+00:00
BTC-27MAR26-53000-P,53000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0007,74371.36,,,2026-03-16 14:07:09.641127+00:00
BTC-27MAR26-54000-C,54000.0,2026-03-27 08:00:00+00:00,put,0.2725,0.276,74371.36,,,2026-03-16 14:07:09.743281+00:00
BTC-27MAR26-54000-P,54000.0,2026-03-27 08:00:00+00:00,put,0.0006,0.0009,74371.36,,,2026-03-16 14:07:09.885389+00:00
BTC-27MAR26-55000-C,55000.0,2026-03-27 08:00:00+00:00,put,0.2595,0.2625,74373.23,,,2026-03-16 14:07:09.999294+00:00
BTC-27MAR26-55000-P,55000.0,2026-03-27 08:00:00+00:00,put,0.0008,0.001,74371.36,,,2026-03-16 14:07:10.113787+00:00
BTC-27MAR26-56000-C,56000.0,2026-03-27 08:00:00+00:00,put,0.246,0.2495,74371.36,,,2026-03-16 14:07:10.220953+00:00
BTC-27MAR26-56000-P,56000.0,2026-03-27 08:00:00+00:00,put,0.0009,0.0012,74371.36,,,2026-03-16 14:07:10.335061+00:00
BTC-27MAR26-57000-C,57000.0,2026-03-27 08:00:00+00:00,put,0.2325,0.236,74371.36,,,2026-03-16 14:07:10.450349+00:00
BTC-27MAR26-57000-P,57000.0,2026-03-27 08:00:00+00:00,put,0.0011,0.0014,74368.96,,,2026-03-16 14:07:10.557547+00:00
BTC-27MAR26-58000-C,58000.0,2026-03-27 08:00:00+00:00,put,0.2195,0.223,74368.96,,,2026-03-16 14:07:10.665937+00:00
BTC-27MAR26-58000-P,58000.0,2026-03-27 08:00:00+00:00,put,0.0013,0.0017,74368.96,,,2026-03-16 14:07:10.770275+00:00
BTC-27MAR26-59000-C,59000.0,2026-03-27 08:00:00+00:00,put,0.205,0.21,74368.96,,,2026-03-16 14:07:10.897646+00:00
BTC-27MAR26-59000-P,59000.0,2026-03-27 08:00:00+00:00,put,0.0016,0.0019,74368.96,,,2026-03-16 14:07:11.003540+00:00
BTC-27MAR26-60000-C,60000.0,2026-03-27 08:00:00+00:00,put,0.1935,0.1965,74368.96,,,2026-03-16 14:07:11.107897+00:00
