instrument_name,strike,expiry_date,option_type,best_bid_price,best_ask_price,underlying_price,mark_iv,funding_rate,timestamp
BTC-27MAR26-20000-C,20000.0,2026-03-27 08:00:00+00:00,put,0.7295,0.7305,74110.48,,,2026-03-16 14:01:44.365850+00:00
BTC-27MAR26-30000-C,30000.0,2026-03-27 08:00:00+00:00,put,0.594,0.596,74110.45,,,2026-03-16 14:01:44.569435+00:00
BTC-27MAR26-40000-C,40000.0,2026-03-27 08:00:00+00:00,put,0.459,0.461,74110.41,,,2026-03-16 14:01:44.756734+00:00
BTC-27MAR26-45000-C,45000.0,2026-03-27 08:00:00+00:00,put,0.3915,0.394,74109.01,,,2026-03-16 14:01:44.929654+00:00
BTC-27MAR26-45000-P,45000.0,2026-03-27 08:00:00+00:00,put,0.0001,0.0002,74109.01,,,2026-03-16 14:01:45.021307+00:00
BTC-27MAR26-50000-C,50000.0,2026-03-27 08:00:00+00:00,put,0.3235,0.3265,74109.01,,,2026-03-16 14:01:45.116562+00:00
BTC-27MAR26-50000-P,50000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0004,74109.01,,,2026-03-16 14:01:45.231993+00:00
BTC-27MAR26-51000-C,51000.0,2026-03-27 08:00:00+00:00,put,0.3105,0.3135,74110.41,,,2026-03-16 14:01:45.324721+00:00
BTC-27MAR26-51000-P,51000.0,2026-03-27 08:00:00+00:00,put,0.0004,0.0005,74110.41,,,2026-03-16 14:01:45.426937+00:00
BTC-27MAR26-52000-C,52000.0,2026-03-27 08:00:00+00:00,put,0.297,0.3,74109.01,,,2026-03-16 14:01:45.515915+00:00
BTC-27MAR26-52000-P,52000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0006,74109.01,,,2026-03-16 14:01:45.604566+00:00
BTC-27MAR26-53000-C,53000.0,2026-03-27 08:00:00+00:00,put,0.2825,0.2865,74108.99,,,2026-03-16 14:01:45.690921+00:00
BTC-27MAR26-53000-P,53000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0007,74109.33,,,2026-03-16 14:01:45.781050+00:00
BTC-27MAR26-54000-C,54000.0,2026-03-27 08:00:00+00:00,put,0.27,0.2735,74109.33,,,2026-03-16 14:01:45.866613+00:00
BTC-27MAR26-54000-P,54000.0,2026-03-27 08:00:00+00:00,put,0.0007,0.0009,74109.33,,,2026-03-16 14:01:45.949232+00:00
BTC-27MAR26-55000-C,55000.0,2026-03-27 08:00:00+00:00,put,0.2565,0.2595,74108.99,,,2026-03-16 14:01:46.049878+00:00
BTC-27MAR26-55000-P,55000.0,2026-03-27 08:00:00+00:00,put,0.0008,0.0011,74109.33,,,2026-03-16 14:01:46.140848+00:00
BTC-27MAR26-56000-C,56000.0,2026-03-27 08:00:00+00:00,put,0.2435,0.247,74109.33,,,2026-03-16 14:01:46.229863+00:00
BTC-27MAR26-56000-P,56000.0,2026-03-27 08:00:00+00:00,put,0.001,0.0012,74109.33,,,2026-03-16 14:01:46.314242+00:00
BTC-27MAR26-57000-C,57000.0,2026-03-27 08:00:00+00:00,put,0.23,0.2335,74109.33,,,2026-03-16 14:01:46.418097+00:00
BTC-27MAR26-57000-P,57000.0,2026-03-27 08:00:00+00:00,put,0.0011,0.0014,74108.99,,,2026-03-16 14:01:46.513350+00:00
BTC-27MAR26-58000-C,58000.0,2026-03-27 08:00:00+00:00,put,0.217,0.2205,74108.99,,,2026-03-16 14:01:46.613963+00:00
BTC-27MAR26-58000-P,58000.0,2026-03-27 08:00:00+00:00,put,0.0014,0.0017,74108.76,,,2026-03-16 14:01:46.721210+00:00
BTC-27MAR26-59000-C,59000.0,2026-03-27 08:00:00+00:00,put,0.2035,0.207,74108.76,,,2026-03-16 14:01:46.809858+00:00
BTC-27MAR26-59000-P,59000.0,2026-03-27 08:00:00+00:00,put,0.0017,0.002,74108.76,,,2026-03-16 14:01:46.924168+00:00
BTC-27MAR26-60000-C,60000.0,2026-03-27 08:00:00+00:00,put,0.19,0.194,74108.76,,,2026-03-16 14:01:47.026190+00:00
BTC-27MAR26-60000-P,60000.0,2026-03-27 08:00:00+00:00,put,0.0022,0.0023,74108.76,,,2026-03-16 14:01:47.137589+00:00
BTC-27MAR26-62000-C,62000.0,2026-03-27 08:00:00+00:00,put,0.164,0.168,74108.76,,,2026-03-16 14:01:47.254082+00:00
BTC-27MAR26-62000-P,62000.0,2026-03-27 08:00:00+00:00,put,0.0031,0.0034,74108.76,,,2026-03-16 14:01:47.374182+00:00
BTC-27MAR26-64000-C,64000.0,2026-03-27 08:00:00+00:00,put,0.1385,0.1445,74108.76,,,2026-03-16 14:01:47.490216+00:00
BTC-27MAR26-64000-P,64000.0,2026-03-27 08:00:00+00:00,put,0.0046,0.0049,74108.76,,,2026-03-16 14:01:47.588725+00:00
BTC-27MAR26-65000-C,65000.0,2026-03-27 08:00:00+00:00,put,0.126,0.1315,74108.76,,,2026-03-16 14:01:47.682727+00:00
BTC-27MAR26-65000-P,65000.0,2026-03-27 08:00:00+00:00,put,0.0055,0.006,74136.52,,,2026-03-16 14:01:47.779192+00:00
BTC-27MAR26-66000-C,66000.0,2026-03-27 08:00:00+00:00,put,0.1145,0.1195,74136.52,,,2026-03-16 14:01:47.907143+00:00
BTC-27MAR26-66000-P,66000.0,2026-03-27 08:00:00+00:00,put,0.0065,0.0075,74136.52,,,2026-03-16 14:01:47.991700+00:00
BTC-27MAR26-67000-C,67000.0,2026-03-27 08:00:00+00:00,put,0.103,0.1075,74136.52,,,2026-03-16 14:01:48.080598+00:00
BTC-27MAR26-67000-P,67000.0,2026-03-27 08:00:00+00:00,put,0.0085,0.009,74136.52,,,2026-03-16 14:01:48.167114+00:00
BTC-27MAR26-68000-C,68000.0,2026-03-27 08:00:00+00:00,put,0.0925,0.095,74136.52,,,2026-03-16 14:01:48.250334+00:00
BTC-27MAR26-68000-P,68000.0,2026-03-27 08:00:00+00:00,put,0.01,0.011,74136.52,,,2026-03-16 14:01:48.347805+00:00
BTC-27MAR26-69000-C,69000.0,2026-03-27 08:00:00+00:00,put,0.0815,0.084,74136.52,,,2026-03-16 14:01:48.448340+00:00
BTC-27MAR26-69000-P,69000.0,2026-03-27 08:00:00+00:00,put,0.0125,0.0135,74136.52,,,2026-03-16 14:01:48.535618+00:00
BTC-27MAR26-70000-C,70000.0,2026-03-27 08:00:00+00:00,put,0.071,0.073,74136.52,,,2026-03-16 14:01:48.621996+00:00
BTC-27MAR26-70000-P,70000.0,2026-03-27 08:00:00+00:00,put,0.0155,0.0165,74157.72,,,2026-03-16 14:01:48.741175+00:00
BTC-27MAR26-71000-C,71000.0,2026-03-27 08:00:00+00:00,put,0.061,0.063,74157.72,,,2026-03-16 14:01:48.838821+00:00
BTC-27MAR26-71000-P,71000.0,2026-03-27 08:00:00+00:00,put,0.019,0.02,74157.72,,,2026-03-16 14:01:48.951948+00:00
BTC-27MAR26-72000-C,72000.0,2026-03-27 08:00:00+00:00,put,0.052,0.0535,74157.72,,,2026-03-16 14:01:49.054127+00:00
BTC-27MAR26-72000-P,72000.0,2026-03-27 08:00:00+00:00,put,0.023,0.0245,74157.72,,,2026-03-16 14:01:49.149362+00:00
BTC-27MAR26-73000-C,73000.0,2026-03-27 08:00:00+00:00,put,0.0435,0.045,74157.72,,,2026-03-16 14:01:49.241452+00:00
BTC-27MAR26-73000-P,73000.0,2026-03-27 08:00:00+00:00,put,0.0285,0.029,74157.72,,,2026-03-16 14:01:49.337664+00:00
BTC-27MAR26-74000-C,74000.0,2026-03-27 08:00:00+00:00,put,0.0365,0.0375,74157.72,,,2026-03-16 14:01:49.430753+00:00
BTC-27MAR26-74000-P,74000.0,2026-03-27 08:00:00+00:00,put,0.034,0.0355,74157.72,,,2026-03-16 14:01:49.533037+00:00
BTC-27MAR26-75000-C,75000.0,2026-03-27 08:00:00+00:00,put,0.0295,0.0305,74157.72,,,2026-03-16 14:01:49.656173+00:00
BTC-27MAR26-75000-P,75000.0,2026-03-27 08:00:00+00:00,put,0.0405,0.042,74158.01,,,2026-03-16 14:01:49.759265+00:00
BTC-27MAR26-76000-C,76000.0,2026-03-27 08:00:00+00:00,put,0.024,0.025,74161.4,,,2026-03-16 14:01:49.854662+00:00
BTC-27MAR26-76000-P,76000.0,2026-03-27 08:00:00+00:00,put,0.048,0.05,74161.4,,,2026-03-16 14:01:49.947655+00:00
BTC-27MAR26-77000-C,77000.0,2026-03-27 08:00:00+00:00,put,0.019,0.0195,74161.4,,,2026-03-16 14:01:50.038104+00:00
BTC-27MAR26-77000-P,77000.0,2026-03-27 08:00:00+00:00,put,0.0565,0.059,74161.4,,,2026-03-16 14:01:50.155076+00:00
BTC-27MAR26-78000-C,78000.0,2026-03-27 08:00:00+00:00,put,0.0145,0.0155,74161.4,,,2026-03-16 14:01:50.256632+00:00
BTC-27MAR26-78000-P,78000.0,2026-03-27 08:00:00+00:00,put,0.0655,0.069,74161.4,,,2026-03-16 14:01:50.368531+00:00
BTC-27MAR26-80000-C,80000.0,2026-03-27 08:00:00+00:00,put,0.0085,0.0095,74161.4,,,2026-03-16 14:01:50.480372+00:00
BTC-27MAR26-80000-P,80000.0,2026-03-27 08:00:00+00:00,put,0.0855,0.0905,74161.4,,,2026-03-16 14:01:50.608865+00:00
BTC-27MAR26-82000-C,82000.0,2026-03-27 08:00:00+00:00,put,0.0049,0.0055,74170.44,,,2026-03-16 14:01:50.700312+00:00
BTC-27MAR26-82000-P,82000.0,2026-03-27 08:00:00+00:00,put,0.108,0.1135,74170.44,,,2026-03-16 14:01:50.791415+00:00
BTC-27MAR26-84000-C,84000.0,2026-03-27 08:00:00+00:00,put,0.0028,0.003,74170.44,,,2026-03-16 14:01:50.893696+00:00
BTC-27MAR26-84000-P,84000.0,2026-03-27 08:00:00+00:00,put,0.133,0.138,74170.44,,,2026-03-16 14:01:50.996413+00:00
BTC-27MAR26-85000-C,85000.0,2026-03-27 08:00:00+00:00,put,0.0021,0.0023,74170.44,,,2026-03-16 14:01:51.097218+00:00
BTC-27MAR26-85000-P,85000.0,2026-03-27 08:00:00+00:00,put,0.1455,0.151,74170.44,,,2026-03-16 14:01:51.205066+00:00
BTC-27MAR26-86000-C,86000.0,2026-03-27 08:00:00+00:00,put,0.0017,0.0018,74170.44,,,2026-03-16 14:01:51.308248+00:00
BTC-27MAR26-86000-P,86000.0,2026-03-27 08:00:00+00:00,put,0.1585,0.164,74170.44,,,2026-03-16 14:01:51.402777+00:00
BTC-27MAR26-88000-C,88000.0,2026-03-27 08:00:00+00:00,put,0.001,0.0012,74170.44,,,2026-03-16 14:01:51.523693+00:00
BTC-27MAR26-88000-P,88000.0,2026-03-27 08:00:00+00:00,put,0.185,0.1905,74170.44,,,2026-03-16 14:01:51.630738+00:00
BTC-27MAR26-90000-C,90000.0,2026-03-27 08:00:00+00:00,put,0.0007,0.0009,74175.55,,,2026-03-16 14:01:51.732190+00:00
BTC-27MAR26-90000-P,90000.0,2026-03-27 08:00:00+00:00,put,0.2115,0.217,74175.55,,,2026-03-16 14:01:51.829748+00:00
BTC-27MAR26-92000-C,92000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0008,74170.38,,,2026-03-16 14:01:51.910171+00:00
BTC-27MAR26-92000-P,92000.0,2026-03-27 08:00:00+00:00,put,0.2375,0.244,74175.55,,,2026-03-16 14:01:51.996883+00:00
BTC-27MAR26-94000-C,94000.0,2026-03-27 08:00:00+00:00,put,0.0004,0.0006,74175.55,,,2026-03-16 14:01:52.097766+00:00
BTC-27MAR26-94000-P,94000.0,2026-03-27 08:00:00+00:00,put,0.2645,0.271,74175.55,,,2026-03-16 14:01:52.199338+00:00
BTC-27MAR26-95000-C,95000.0,2026-03-27 08:00:00+00:00,put,0.0004,0.0006,74175.55,,,2026-03-16 14:01:52.296187+00:00
