instrument_name,strike,expiry_date,option_type,best_bid_price,best_ask_price,underlying_price,mark_iv,funding_rate,timestamp
BTC-27MAR26-20000-C,20000.0,2026-03-27 08:00:00+00:00,put,0.73,0.7315,74246.34,,,2026-03-16 14:04:52.142679+00:00
BTC-27MAR26-30000-C,30000.0,2026-03-27 08:00:00+00:00,put,0.595,0.597,74246.61,,,2026-03-16 14:04:52.293023+00:00
BTC-27MAR26-40000-C,40000.0,2026-03-27 08:00:00+00:00,put,0.4605,0.463,74246.61,,,2026-03-16 14:04:52.445044+00:00
BTC-27MAR26-45000-C,45000.0,2026-03-27 08:00:00+00:00,put,0.393,0.396,74246.34,,,2026-03-16 14:04:52.600888+00:00
BTC-27MAR26-45000-P,45000.0,2026-03-27 08:00:00+00:00,put,0.0001,0.0002,74246.34,,,2026-03-16 14:04:52.672466+00:00
BTC-27MAR26-50000-C,50000.0,2026-03-27 08:00:00+00:00,put,0.3255,0.3285,74246.34,,,2026-03-16 14:04:52.761046+00:00
BTC-27MAR26-50000-P,50000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0004,74246.34,,,2026-03-16 14:04:52.836539+00:00
BTC-27MAR26-51000-C,51000.0,2026-03-27 08:00:00+00:00,put,0.312,0.3155,74246.61,,,2026-03-16 14:04:52.907454+00:00
BTC-27MAR26-51000-P,51000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0005,74246.61,,,2026-03-16 14:04:52.989543+00:00
BTC-27MAR26-52000-C,52000.0,2026-03-27 08:00:00+00:00,put,0.2985,0.3025,74245.56,,,2026-03-16 14:04:53.077720+00:00
BTC-27MAR26-52000-P,52000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0006,74245.56,,,2026-03-16 14:04:53.155258+00:00
BTC-27MAR26-53000-C,53000.0,2026-03-27 08:00:00+00:00,put,0.284,0.289,74246.51,,,2026-03-16 14:04:53.234481+00:00
BTC-27MAR26-53000-P,53000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0007,74245.56,,,2026-03-16 14:04:53.308485+00:00
BTC-27MAR26-54000-C,54000.0,2026-03-27 08:00:00+00:00,put,0.272,0.2755,74245.56,,,2026-03-16 14:04:53.471459+00:00
BTC-27MAR26-54000-P,54000.0,2026-03-27 08:00:00+00:00,put,0.0006,0.0009,74245.56,,,2026-03-16 14:04:53.768174+00:00
