instrument_name,strike,expiry_date,option_type,best_bid_price,best_ask_price,underlying_price,mark_iv,funding_rate,timestamp
BTC-27MAR26-20000-C,20000.0,2026-03-27 08:00:00+00:00,put,0.7295,0.7305,74103.75,,,2026-03-16 13:59:52.721847+00:00
BTC-27MAR26-30000-C,30000.0,2026-03-27 08:00:00+00:00,put,0.594,0.596,74090.66,,,2026-03-16 13:59:52.868768+00:00
BTC-27MAR26-40000-C,40000.0,2026-03-27 08:00:00+00:00,put,0.4585,0.4615,74090.66,,,2026-03-16 13:59:53.017493+00:00
BTC-27MAR26-45000-C,45000.0,2026-03-27 08:00:00+00:00,put,0.3905,0.395,74103.75,,,2026-03-16 13:59:53.171740+00:00
BTC-27MAR26-45000-P,45000.0,2026-03-27 08:00:00+00:00,put,0.0001,0.0002,74110.4,,,2026-03-16 13:59:53.249232+00:00
BTC-27MAR26-50000-C,50000.0,2026-03-27 08:00:00+00:00,put,0.323,0.327,74110.4,,,2026-03-16 13:59:53.341661+00:00
BTC-27MAR26-50000-P,50000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0004,74110.4,,,2026-03-16 13:59:53.420548+00:00
BTC-27MAR26-51000-C,51000.0,2026-03-27 08:00:00+00:00,put,0.3095,0.3145,74104.22,,,2026-03-16 13:59:53.489066+00:00
BTC-27MAR26-51000-P,51000.0,2026-03-27 08:00:00+00:00,put,0.0004,0.0005,74104.22,,,2026-03-16 13:59:53.561592+00:00
BTC-27MAR26-52000-C,52000.0,2026-03-27 08:00:00+00:00,put,0.2965,0.301,74110.4,,,2026-03-16 13:59:53.634289+00:00
BTC-27MAR26-52000-P,52000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0006,74110.4,,,2026-03-16 13:59:53.709973+00:00
BTC-27MAR26-53000-C,53000.0,2026-03-27 08:00:00+00:00,put,0.2825,0.288,74104.22,,,2026-03-16 13:59:53.779254+00:00
BTC-27MAR26-53000-P,53000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0008,74110.4,,,2026-03-16 13:59:53.851740+00:00
BTC-27MAR26-54000-C,54000.0,2026-03-27 08:00:00+00:00,put,0.2695,0.2745,74110.4,,,2026-03-16 13:59:53.927588+00:00
BTC-27MAR26-54000-P,54000.0,2026-03-27 08:00:00+00:00,put,0.0007,0.0009,74110.4,,,2026-03-16 13:59:54.020037+00:00
BTC-27MAR26-55000-C,55000.0,2026-03-27 08:00:00+00:00,put,0.2565,0.2605,74104.22,,,2026-03-16 13:59:54.096750+00:00
BTC-27MAR26-55000-P,55000.0,2026-03-27 08:00:00+00:00,put,0.0008,0.0011,74110.4,,,2026-03-16 13:59:54.167058+00:00
BTC-27MAR26-56000-C,56000.0,2026-03-27 08:00:00+00:00,put,0.2425,0.248,74110.81,,,2026-03-16 13:59:54.236506+00:00
BTC-27MAR26-56000-P,56000.0,2026-03-27 08:00:00+00:00,put,0.001,0.0012,74110.81,,,2026-03-16 13:59:54.312998+00:00
BTC-27MAR26-57000-C,57000.0,2026-03-27 08:00:00+00:00,put,0.2295,0.235,74110.81,,,2026-03-16 13:59:54.407927+00:00
BTC-27MAR26-57000-P,57000.0,2026-03-27 08:00:00+00:00,put,0.0012,0.0015,74110.62,,,2026-03-16 13:59:54.478745+00:00
BTC-27MAR26-58000-C,58000.0,2026-03-27 08:00:00+00:00,put,0.216,0.2215,74110.62,,,2026-03-16 13:59:54.552791+00:00
BTC-27MAR26-58000-P,58000.0,2026-03-27 08:00:00+00:00,put,0.0014,0.0017,74110.81,,,2026-03-16 13:59:54.631120+00:00
BTC-27MAR26-59000-C,59000.0,2026-03-27 08:00:00+00:00,put,0.203,0.2085,74110.81,,,2026-03-16 13:59:54.722493+00:00
BTC-27MAR26-59000-P,59000.0,2026-03-27 08:00:00+00:00,put,0.0017,0.002,74110.81,,,2026-03-16 13:59:54.800809+00:00
BTC-27MAR26-60000-C,60000.0,2026-03-27 08:00:00+00:00,put,0.19,0.194,74110.81,,,2026-03-16 13:59:54.875808+00:00
BTC-27MAR26-60000-P,60000.0,2026-03-27 08:00:00+00:00,put,0.0022,0.0024,74110.81,,,2026-03-16 13:59:54.956641+00:00
BTC-27MAR26-62000-C,62000.0,2026-03-27 08:00:00+00:00,put,0.164,0.169,74110.81,,,2026-03-16 13:59:55.036311+00:00
BTC-27MAR26-62000-P,62000.0,2026-03-27 08:00:00+00:00,put,0.0031,0.0034,74110.62,,,2026-03-16 13:59:55.106928+00:00
BTC-27MAR26-64000-C,64000.0,2026-03-27 08:00:00+00:00,put,0.1385,0.143,74110.81,,,2026-03-16 13:59:55.177416+00:00
BTC-27MAR26-64000-P,64000.0,2026-03-27 08:00:00+00:00,put,0.0047,0.0049,74110.81,,,2026-03-16 13:59:55.250915+00:00
BTC-27MAR26-65000-C,65000.0,2026-03-27 08:00:00+00:00,put,0.126,0.1305,74110.81,,,2026-03-16 13:59:55.329342+00:00
BTC-27MAR26-65000-P,65000.0,2026-03-27 08:00:00+00:00,put,0.0055,0.006,74110.62,,,2026-03-16 13:59:55.426295+00:00
BTC-27MAR26-66000-C,66000.0,2026-03-27 08:00:00+00:00,put,0.114,0.119,74110.81,,,2026-03-16 13:59:55.505018+00:00
BTC-27MAR26-66000-P,66000.0,2026-03-27 08:00:00+00:00,put,0.007,0.0075,74110.81,,,2026-03-16 13:59:55.576652+00:00
BTC-27MAR26-67000-C,67000.0,2026-03-27 08:00:00+00:00,put,0.103,0.106,74117.01,,,2026-03-16 13:59:55.650147+00:00
